text,intent
"how much should i invest to get 4500 after 3 years at 3%",INVEST_REQUIRED_PRINCIPAL
"required principal for 7000 in 5 years at 4 percent",INVEST_REQUIRED_PRINCIPAL
"how much to invest now to get 18k in 12 years at 5%",INVEST_REQUIRED_PRINCIPAL
"what principal yields 2,500 after 2 years at 4 percent",INVEST_REQUIRED_PRINCIPAL
"how much should i invest to get 3500 after 5 years at 3%",INVEST_REQUIRED_PRINCIPAL
"required principal to reach 16000 in 10 years at 6 percent",INVEST_REQUIRED_PRINCIPAL
"how much should I invest to get 7000 euro after 2 years at 10%",INVEST_REQUIRED_PRINCIPAL
"how much do I need to invest today to have 10000 euro in 5 years at 8%",INVEST_REQUIRED_PRINCIPAL
"what principal is needed to reach 5000 euro in 3 years at 6%",INVEST_REQUIRED_PRINCIPAL
"how much money must I put in to get 2000 euro after 4 years at 7%",INVEST_REQUIRED_PRINCIPAL
"how much initial investment to reach 3000 euro in 10 years at 5%",INVEST_REQUIRED_PRINCIPAL
"how much should I invest now to get 1500 euro in 2 years at 12%",INVEST_REQUIRED_PRINCIPAL
"required principal for 8000 euro in 6 years at 9%",INVEST_REQUIRED_PRINCIPAL
"how much do I need to start with to reach 4000 euro in 8 years at 4%",INVEST_REQUIRED_PRINCIPAL
"what starting amount gives 10000 euro in 10 years at 3%",INVEST_REQUIRED_PRINCIPAL
"how much initial capital for 20000 euro in 15 years at 5%",INVEST_REQUIRED_PRINCIPAL
"how much should I put in to get 500 euro in 1 year at 10%",INVEST_REQUIRED_PRINCIPAL
"required investment for 6000 euro in 7 years at 6%",INVEST_REQUIRED_PRINCIPAL
"how much do I need to invest to reach 9000 euro in 9 years at 8%",INVEST_REQUIRED_PRINCIPAL
"what principal yields 2500 euro in 3 years at 11%",INVEST_REQUIRED_PRINCIPAL
"how much initial amount for 12000 euro in 12 years at 4%",INVEST_REQUIRED_PRINCIPAL
"what is the required investment to have 6000 euro in 2 years at 5%",INVEST_REQUIRED_PRINCIPAL
"how much do I need to invest to get 6000 euro in 2 years",INVEST_REQUIRED_PRINCIPAL
"how much initial money to reach 6000 euro in 2 years",INVEST_REQUIRED_PRINCIPAL
"required investment for 6000 euro in 2 years",INVEST_REQUIRED_PRINCIPAL
"invest 2000 at 4% then how much will I get after 10 years",INVEST_SIMPLE
"if I invest 2000 at 4% then after 10 years how much will I get",INVEST_SIMPLE
"if I invest 2000 in a fund with returns of 4% then after 10 years how much will I get",INVEST_SIMPLE
"how much will I get after 10 years if I invest 2000 at 4 percent",INVEST_SIMPLE
"how much will my 2000 grow in 10 years at 4%",INVEST_SIMPLE
"what will 2000 become after 10 years at 4%",INVEST_SIMPLE
"2000 at 4% for 10 years how much will it be",INVEST_SIMPLE
"principal 2000 rate 4% years 10",INVEST_SIMPLE
"principal is 2000 rate is 4% and years is 10",INVEST_SIMPLE
"principal 2000 rate 4 percent time 10 years",INVEST_SIMPLE
"if I invest 2000 euro at 5% for 10 years",INVEST_SIMPLE
"I put 5000 euros at 3% simple interest for 4 years",INVEST_SIMPLE
"invested 1500 at 7 percent for 2 years",INVEST_SIMPLE
"I invest 1000 at 2% for 3 years simple interest",INVEST_SIMPLE
"if i invest 750 at 4 percent for 8 years",INVEST_SIMPLE
"i invest 300 at 1.5% for 12 months",INVEST_SIMPLE
"invest 2000 at 3.5 percent simple interest for 5 years",INVEST_SIMPLE
"i put 1200 at 2% simple for 2 years",INVEST_SIMPLE
"if I invest 2000 in a fund with returns of 4% then after 10 years how much will I get",INVEST_SIMPLE
"if I invest X in a fund with returns of Y% then after Z years how much will I get",INVEST_SIMPLE
"how much will I get if I invest 2000 at 4% for 10 years",INVEST_SIMPLE
"how much will I have after 10 years if I invest 2000 at 4 percent",INVEST_SIMPLE
"what will I get after 10 years if I invest 2000 at 4%",INVEST_SIMPLE
"if I put 2000 in a fund earning 4% for 10 years what will it become",INVEST_SIMPLE
"how much will my investment of 2000 grow in 10 years at 4%",INVEST_SIMPLE
"principal is 2000 rate is 4% and years is 10",INVEST_SIMPLE
"principal 2000 rate 4% years 10",INVEST_SIMPLE
"principal 2000 rate 4 percent time 10 years",INVEST_SIMPLE
"principal is X rate is Y years is Z",INVEST_SIMPLE
"invested 600 at 5% for 6 years",INVEST_SIMPLE
"i invest 4000 at 2.5% for 3 years",INVEST_SIMPLE
"invest 50 at 10% for 1 year",INVEST_SIMPLE
"i invest 2500 at 4% for 10 years simple interest",INVEST_SIMPLE
"invest 100 at 1% for 5 years",INVEST_SIMPLE
"i invest 800 at 3% for 2 years",INVEST_SIMPLE
"invest 3500 at 5% for 7 years",INVEST_SIMPLE
"i invest 900 at 2% for 4 years",INVEST_SIMPLE
"invest 2200 at 6% for 3 years",INVEST_SIMPLE
"i invest 1600 at 3% for 5 years",INVEST_SIMPLE
"invest 420 at 2% for 3 years",INVEST_SIMPLE
"i invest 700 at 4% for 2 years",INVEST_SIMPLE
"invest 1300 at 5% for 4 years",INVEST_SIMPLE
"if I invest 2000 euro at 5% for 10 years what will I have",INVEST_SIMPLE
"what will I have after 3 years if I invest 500 euro at 7%",INVEST_SIMPLE
"how much will 1000 euro become after 4 years at 8%",INVEST_SIMPLE
"investing 3000 euro at 6% for 5 years gives what amount",INVEST_SIMPLE
"what is the future value of 2500 euro at 4% for 12 years",INVEST_SIMPLE
"how much will my 800 euro grow in 10 years at 5%",INVEST_SIMPLE
"calculate the amount after 6 years for 1200 euro at 9%",INVEST_SIMPLE
"what will be the value of 1500 euro after 7 years at 3%",INVEST_SIMPLE
"how much will 400 euro become in 2 years at 10%",INVEST_SIMPLE
"what is the result of investing 900 euro at 11% for 4 years",INVEST_SIMPLE
"how much will 200 euro grow in 5 years at 12%",INVEST_SIMPLE
"what is the compound amount of 100 euro at 20% for 3 years",INVEST_SIMPLE
"future value of 500 euro at 15% for 2 years",INVEST_SIMPLE
"how much will 50 euro become in 10 years at 10%",INVEST_SIMPLE
"calculate 700 euro at 8% for 9 years",INVEST_SIMPLE
"what will 600 euro be worth after 6 years at 5%",INVEST_SIMPLE
"how much will 10000 euro become in 1 year at 2%",INVEST_SIMPLE
"principal is 2000 rate is 4% and year is 10",INVEST_SIMPLE
"principal 2000 rate 4% years 10",INVEST_SIMPLE
"principal 2000 rate 4 percent time 10 years",INVEST_SIMPLE
"principal is X rate is Y years is Z",INVEST_SIMPLE
"principal is 2000 rate is 4% year is 10",INVEST_SIMPLE
"what is the amount after 3 years for 200 euro at 4%",INVEST_SIMPLE
"how much will 250 euro grow in 8 years at 7%",INVEST_SIMPLE
"calculate the future value of 300 euro at 9% for 3 years",INVEST_SIMPLE
"how long will it take to reach 5000 euro",INVEST_YEARS
"how many years to double 2500 at 5%",INVEST_YEARS
"how long until my 3000 becomes 6000 at 8% annually",INVEST_YEARS
"how many years to reach 12000 from 5000 at 6%?",INVEST_YEARS
"time to reach 1 million from 100k at 7% yearly",INVEST_YEARS
"how long until 200 becomes 1000 at 10% interest",INVEST_YEARS
"years to reach 50k from 20k at 4% annually",INVEST_YEARS
"how many years until 8000 from 2000 at 12%",INVEST_YEARS
"time to reach 250k from 50k at 9% annually",INVEST_YEARS
"how long to reach 10k from 1k at 20% per year",INVEST_YEARS
"years needed to reach 30k from 10k at 7% interest",INVEST_YEARS
"how many years to reach 20000 from 5000 at 10%",INVEST_YEARS
"time to reach 75k from 25k at 6% annually",INVEST_YEARS
"how long until 4000 from 1000 at 15% yearly",INVEST_YEARS
"years to reach 200k from 50k at 8% interest",INVEST_YEARS
"how many years to reach 9000 from 3000 at 7%",INVEST_YEARS
"time to reach 40k from 10k at 10% annually",INVEST_YEARS
"how long until 15000 from 5000 at 12% yearly",INVEST_YEARS
"years to reach 60k from 20k at 8% interest",INVEST_YEARS
"how many years to reach 20k from 2k at 25% per year",INVEST_YEARS
"time to reach 90k from 30k at 7% annually",INVEST_YEARS
"how long will it take to grow 2000 euro to 5000 euro at 6%",INVEST_YEARS
"how many years to reach 10000 euro from 3000 euro at 9%",INVEST_YEARS
"how long until 400 euro becomes 800 euro at 7%",INVEST_YEARS
"years needed for 1000 euro to reach 2000 euro at 5%",INVEST_YEARS
"how long to double 500 euro at 8%",INVEST_YEARS
"how long until 300 euro becomes 900 euro at 12%",INVEST_YEARS
"how many years to reach 1500 euro from 200 euro at 10%",INVEST_YEARS
"how long does it take for 100 euro to reach 1000 euro at 15%",INVEST_YEARS
"years required for 2000 euro to reach 3000 euro at 4%",INVEST_YEARS
"how long to reach 5000 euro from 1000 euro at 6%",INVEST_YEARS
"how long until 50 euro becomes 200 euro at 20%",INVEST_YEARS
"how many years to triple 100 euro at 9%",INVEST_YEARS
"how long to reach 700 euro from 100 euro at 11%",INVEST_YEARS
"years needed for 400 euro to reach 1600 euro at 14%",INVEST_YEARS
"how long until 250 euro becomes 500 euro at 5%",INVEST_YEARS
"good to see you",OTHER
"what's up",OTHER
"thanks",OTHER
"bye",OTHER
"what can you do",OTHER
"who are you",OTHER
"tell me something",OTHER
"thanks",OTHER
"ok",OTHER
"continue",OTHER
"what do you mean",OTHER
"explain yourself",OTHER
"interesting",OTHER
"cool",OTHER
"nice",OTHER
"alright",OTHER
"carry on",OTHER
"go on",OTHER
"okay",OTHER
"hm",OTHER
"what else",OTHER
maybe,OTHER
idk,OTHER
hmm,OTHER
nah,OTHER
not sure,OTHER
"yes",QUIZ_CONTINUE
"yes please",QUIZ_CONTINUE
"sure",QUIZ_CONTINUE
"yeah",QUIZ_CONTINUE
"yup",QUIZ_CONTINUE
"another",QUIZ_CONTINUE
"another one",QUIZ_CONTINUE
"next",QUIZ_CONTINUE
"next one",QUIZ_CONTINUE
"give me another",QUIZ_CONTINUE
"give me one more",QUIZ_CONTINUE
"no",QUIZ_STOP
"no thanks",QUIZ_STOP
"stop",QUIZ_STOP
"stop please",QUIZ_STOP
"not now",QUIZ_STOP
"maybe later",QUIZ_STOP
"Prove that the determinant of a product AB equals det(A)det(B)",ADVANCED_MATH
"Find the eigenvectors of the matrix [[2,1],[1,2]]",ADVANCED_MATH
"Compute the characteristic polynomial of [[3,0],[0,5]]",ADVANCED_MATH
"Is the matrix [[1,2],[3,6]] invertible? Explain why",ADVANCED_MATH
"Find an orthonormal basis using Gram-Schmidt for vectors (1,1,0) and (1,0,1)",ADVANCED_MATH
"Diagonalise the matrix [[6,2],[2,6]]",ADVANCED_MATH
"Find the rank and nullity of [[1,2,3],[2,4,6],[1,1,1]]",ADVANCED_MATH
"Compute the LU decomposition of [[4,3],[6,3]]",ADVANCED_MATH
"Find the singular values of [[3,0],[0,2]]",ADVANCED_MATH
"Determine whether the vectors (1,2,3), (2,4,6), (1,1,1) are linearly independent",ADVANCED_MATH
"Differentiate (x^2 + 3x + 1) / (x - 1)",ADVANCED_MATH
"Find d/dx of ln(x^2 + 1)",ADVANCED_MATH
"Compute the derivative of e^(3x) sin(x)",ADVANCED_MATH
"Integrate x e^x dx",ADVANCED_MATH
"Evaluate ∫ (1 / (1 + x^2)) dx",ADVANCED_MATH
"Compute ∫ x sqrt(x^2 + 1) dx",ADVANCED_MATH
"Find the limit as x→∞ of (3x^2 + 1)/(x^2 - 5)",ADVANCED_MATH
"Find the Taylor series of sin(x) around x=0",ADVANCED_MATH
"Evaluate the improper integral ∫₀^∞ e^{-x} dx",ADVANCED_MATH
"Compute the second derivative of x^3 e^x",ADVANCED_MATH
"Compute the gradient of f(x,y,z)=x^2+y^2+z^2",ADVANCED_MATH
"Find the divergence of F=(x^2, yz, z^2)",ADVANCED_MATH
"Compute the curl of F=(y, z, x)",ADVANCED_MATH
"Evaluate the line integral ∮C (y dx + x dy) around the unit circle",ADVANCED_MATH
"Use Stokes' theorem to evaluate ∮C F·dr for F=(z,0,x)",ADVANCED_MATH
"Compute the flux of F=(x,y,z) through the unit sphere",ADVANCED_MATH
"Prove that the determinant of a product AB equals det(A)det(B)",ADVANCED_MATH
"Find the eigenvectors of the matrix [[2,1],[1,2]]",ADVANCED_MATH
"Compute the characteristic polynomial of [[3,0],[0,5]]",ADVANCED_MATH
"Is the matrix [[1,2],[3,6]] invertible? Explain why",ADVANCED_MATH
"Find an orthonormal basis using Gram-Schmidt for vectors (1,1,0) and (1,0,1)",ADVANCED_MATH
"Diagonalise the matrix [[6,2],[2,6]]",ADVANCED_MATH
"Find the rank and nullity of [[1,2,3],[2,4,6],[1,1,1]]",ADVANCED_MATH
"Compute the LU decomposition of [[4,3],[6,3]]",ADVANCED_MATH
"Find the singular values of [[3,0],[0,2]]",ADVANCED_MATH
"Determine whether the vectors (1,2,3), (2,4,6), (1,1,1) are linearly independent",ADVANCED_MATH
"Prove that a continuous function on a closed interval is bounded",ADVANCED_MATH
"Show that the sequence a_n = 1/n converges to 0",ADVANCED_MATH
"Prove that the limit of sin(x)/x as x→0 is 1",ADVANCED_MATH
"Determine whether the series Σ 1/n^2 converges",ADVANCED_MATH
"Show that every Cauchy sequence in R is convergent",ADVANCED_MATH
"Prove that the derivative of e^x is e^x",ADVANCED_MATH
"Prove that the set of integers under addition is a group",ADVANCED_MATH
"Is the set of nonzero real numbers under multiplication a group?",ADVANCED_MATH
"Find all subgroups of Z_12",ADVANCED_MATH
"Determine whether the polynomial x^2 + 1 is irreducible over the reals",ADVANCED_MATH
"Compute the order of element 3 in Z_7",ADVANCED_MATH
"Show that matrix multiplication is not commutative",ADVANCED_MATH
"Compute the complex integral ∮ |z|=1 (1/z) dz",ADVANCED_MATH
"Find the residue of 1/(z^2+1) at z=i",ADVANCED_MATH
"Determine whether f(z)=|z|^2 is analytic",ADVANCED_MATH
"Use Cauchy's integral formula to compute f(0) for f(z)=1/(1−z)",ADVANCED_MATH
"State and prove the Fundamental Theorem of Calculus",ADVANCED_MATH
"Explain the meaning of the Rank-Nullity Theorem",ADVANCED_MATH
"State the Spectral Theorem and give an example",ADVANCED_MATH
"Explain the difference between uniform and pointwise convergence",ADVANCED_MATH
"State the Mean Value Theorem and provide a proof",ADVANCED_MATH
"Find the eigenvalues of [[7,2],[2,7]]",ADVANCED_MATH
"Compute the eigenvectors of [[4,1],[1,4]]",ADVANCED_MATH
"Student attempt: eigenvalues of [[3,1],[1,3]] are 3±1? is that right?",ADVANCED_MATH
"Is the matrix [[1,2],[3,4]] diagonalizable? Explain",ADVANCED_MATH
"Find the rank and nullity of [[1,2,3],[2,4,6],[1,1,1]]",ADVANCED_MATH
"Student mistake: I think rank of [[1,2],[2,4]] is 2 because two rows exist",ADVANCED_MATH
"Perform Gram-Schmidt on (1,1,0), (1,0,1), (0,1,1)",ADVANCED_MATH
"Compute the SVD of [[5,0],[0,2]]",ADVANCED_MATH
"Find the determinant of a 3×3 matrix using cofactor expansion",ADVANCED_MATH
"Prove that det(AB)=det(A)det(B)",ADVANCED_MATH
"Differentiate (x^3 + 2x)/(x−1)",ADVANCED_MATH
"Student attempt: derivative of x^2 is 2, right?",ADVANCED_MATH
"Find d/dx of e^(2x) sin(x)",ADVANCED_MATH
"Compute ∫ x ln(x) dx using integration by parts",ADVANCED_MATH
"Evaluate ∫ (3x)/(x^2+1) dx",ADVANCED_MATH
"Find the limit as x→0 of (tan x)/x",ADVANCED_MATH
"Student mistake: ∫ 1/x dx = 1/(x^2) ???",ADVANCED_MATH
"Compute the second derivative of x^2 e^x",ADVANCED_MATH
"Find the Taylor series of ln(1+x) around 0",ADVANCED_MATH
"Evaluate the improper integral ∫₁^∞ 1/x^2 dx",ADVANCED_MATH
"Prove that every convergent sequence is Cauchy",ADVANCED_MATH
"Show that the sequence a_n = (−1)^n / n converges",ADVANCED_MATH
"Student attempt: limit of 1/n is 1 because numerator is 1",ADVANCED_MATH
"Prove that continuous functions on compact sets are bounded",ADVANCED_MATH
"Determine whether Σ 1/(n ln n) converges",ADVANCED_MATH
"Explain uniform vs pointwise convergence with examples",ADVANCED_MATH
"Prove that sin(x)/x → 1 as x→0",ADVANCED_MATH
"List all subgroups of Z_18",ADVANCED_MATH
